場所名稱,場所縣市,場所區域,場所地址,場所分類,場所類型,其他類型,場所描述,AED放置地點,AED地點描述,地點LAT,地點LNG,全年全天開放大眾使用,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,開放時間緊急連絡電話
高雄醫學大學,高雄市,三民區,十全一路100號,學校、集會場所或特殊機構,大專院校,,,濟世大樓一樓,濟世大樓一樓電梯口旁,22.646949,120.311004,X,08:00,17:30,,,,,,07-3121101#2117
宜家家居股份有限公司新店分公司,新北市,新店區,中央路159號3樓,購物場所,商場,,"小碧潭捷運站2號出口
美河市生活廣場",3樓退換貨櫃台前,3樓退換貨櫃台前,24.972899,121.530318,X,10:00,21:30,10:00,21:30,10:00,21:30,,02-89136651
新北市立八里愛心教養院,新北市,八里區,華富山37號,其他,其他場所,教養院,,3樓保健組走廊備藥室旁,"3樓保健組走廊
備藥室旁",25.142954,121.412305,X,08:00,20:00,08:00,22:00,08:00,22:00,,(02) 26106677#336
易科德室內裝修工程股份有限公司,新竹市,東區,東大路一段118號7樓,其他,其他場所,公司,,七樓辦公室門口旁,七樓辦公室門口旁,24.806065,120.973934,X,09:00,17:00,,,,,,0988-696453
豐丘基督長老教會,南投縣,信義鄉,高平巷28-1號,其他,其他場所,教會,,豐丘基督長老教會,2樓禮堂外右側,23.672414,120.87465,X,00:00,23:59,00:00,23:59,00:00,23:59,,049-2791762
全國公證檢驗股份有限公司,台中市,西屯區,工業區38路185之1號,其他,其他場所,辦公、實驗室,,安規實驗室入口旁,放置於安規實驗室入口旁,24.173661,120.588959,X,09:30,18:00,,,,,,+886-4-2359-8819 Ext. 625
實踐大學高雄校區,高雄市,苓雅區,苓南路2號,學校、集會場所或特殊機構,大專院校,,,推廣教育部高雄中心,推廣教育部高雄中心,22.613208,120.294003,X,00:00,23:59,00:00,23:59,00:00,23:59,全日開放,(07)2696666
京戀社區管理委員會,桃園市,平鎮區,南京路102巷26號,其他,其他場所,社區大樓,,一樓大門旁,一樓大門旁,24.916326,121.208188,X,00:00,23:59,00:00,23:59,00:00,23:59,,03-4031043
衛生福利部澎湖老人之家,澎湖縣,馬公市,光華里123號,其他,其他場所,醫療院所,,衛生福利部澎湖老人之家-少教大樓,少教大樓-大廳,23.560121,119.603471,X,07:30,18:00,07:30,18:00,07:30,18:00,,06-9216846
高雄市六龜區新發國民小學,高雄市,六龜區,新發里和平路130號,學校、集會場所或特殊機構,國小,,,教學大樓一樓東側樓梯,"1. 廚房旁邊
2.樓梯口公共電話下面",23.032411,120.663863,X,08:00,19:00,08:00,16:00,08:00,16:00,,76791387
高盛健身事業股份有限公司永春分公司,台北市,信義區,忠孝東路5段451號B1,學校、集會場所或特殊機構,健身房,,,團體教室前,位於團體教室前伸展區旁靠牆,25.041068,121.576563,X,07:00,23:00,07:00,23:00,07:00,23:00,每月第一個禮拜一為休館清潔日無營業,02-2765-0700#2
嘉義縣中埔鄉中埔國民小學,嘉義縣,中埔鄉,嘉義縣中埔鄉中埔村中正路1號,學校、集會場所或特殊機構,國小,,,健康中心內,進入校門第1棟1樓最右側-健康中心內,23.422988,120.52385,X,08:00,17:00,00:00,00:00,00:00,00:00,,05-2531003
海軍軍官學校,高雄市,左營區,軍校路669號,學校、集會場所或特殊機構,軍營,,不對外開放,醫務所,醫務所,22.70577,120.290551,X,,,,,,,配合國軍營區內緊急救護使用，不對外開放,07-5813141
台灣虎航股份有限公司B-50017航機,台北市,松山區,敦化北路405巷123弄3號,長距離交通工具,航空器,,,第13排 DEF行李艙,台灣虎航股份有限公司B-50017航機,25.06304,121.557636,X,00:00,23:59,00:00,23:59,00:00,23:59,航機值勤時用,02-77356983
國軍彰化忠靈塔,彰化縣,彰化市,卦山路11號,觀光旅遊地區,直轄市、縣(市)政府主管之風景區,,位於卦山路上，國軍彰化忠靈塔,國軍彰化忠靈塔管理室,管理室門邊,24.071658,120.562447,X,08:00,17:00,08:00,17:00,08:00,17:00,,04-7254283
桃園大眾捷運股份有限公司(桃園捷運A1台北車站),台北市,中正區,鄭州路8號,交通要衝,捷運站,,桃園捷運A1台北車站,B1預辦登機層預辦登機區,預辦登機區售卡及加值機旁，近臨停車道,25.049258,121.512276,X,06:00,23:00,06:00,23:00,06:00,23:00,,(03)286-8789
THE GAYA HOTEL 渡假酒店,台東縣,台東市,新生路169號,旅宿場所,飯店,,THE GAYA HOTEL是以科技、文化與旅遊緊密結合的劃時代渡假飯店。以科技強調廣度，以文化強調深度，拉開兩軸線。THE GAYA HOTEL是由知名設計師葉裕清打造「文化旅館」，力圖成為臺東人文風土與國際接軌的重要橋樑，擔任最忠誠、最熱情的臺東觀光大使。,大廳外車道左側,大廳外車道左側,22.754406,121.145871,X,00:00,00:00,00:00,00:00,00:00,00:00,全天候24小時,089-611888
國通汽車股份有限公司健康分公司,台南市,南區,中華西路一段79號,其他,其他場所,NISSAN,,客戶服務區櫃檯後面,客戶服務區櫃檯後面,22.975629,120.183926,,08:30,17:30,08:30,17:30,,,,06-2915011
苗栗縣立圖書館,苗栗縣,苗栗市,北苗里自治路50號,其他,其他場所,圖書館,,一樓服務台旁,一樓服務台旁,24.565963,120.820399,X,09:00,21:00,09:00,21:00,09:00,21:00,,037-559001
匯聯汽車股份有限公司 鹿港分公司,彰化縣,福興鄉,彰鹿路七段339號,其他,其他場所,NISSAN,匯聯汽車股份有限公司 創立於民國 84 年，為裕隆汽車集團與匯豐汽車關係企業；汽車買賣業前50大、汽車維修服務業前10大企業。 主要從事汽車相關業，擁有為數不少的客戶群。,結帳櫃檯後方,結帳櫃檯後方,24.046966,120.448699,X,09:00,18:00,09:00,18:00,09:00,18:00,,04-7765610
新北市中和國民運動中心,新北市,中和區,錦和路350之2號,學校、集會場所或特殊機構,運動中心,,錦和運動公園邊坡,主場館4樓,茶水間入口旁靠牆,24.992635,121.490381,X,06:00,22:00,06:00,22:00,06:00,22:00,,22429222#100
裕民汽車股份有限公司市政分公司,台中市,西屯區,市政路638號,其他,其他場所,NISSAN,,展示間,展示間,24.162011,120.632593,,08:30,18:00,08:30,18:00,16:30,18:00,,04-22591719
裕民汽車股份有限公司大里分公司,台中市,大里區,國光路一段151號,其他,其他場所,NISSAN,,客休區,客休區,24.098366,120.682842,,08:30,18:00,08:30,18:00,08:30,18:00,,04-24065100
苗栗縣立頭份國民中學,苗栗縣,頭份鎮,中央路275號,學校、集會場所或特殊機構,國中,,,頭份國中總務處,頭份國中總務處內入口牆邊,24.6921,120.901115,X,08:00,17:00,08:00,17:00,,,,037-663207
裕新汽車股份有限公司新竹分公司,新竹市,東區,經國路一段2號,其他,其他場所,NISSAN,,客休室,客休室輪胎展示架旁,24.816305,120.993293,X,08:30,21:30,08:30,21:30,08:30,21:30,,03-5331188
妮飛健身空間,台北市,內湖區,瑞湖街99號,學校、集會場所或特殊機構,健身房,健身房],,妮飛健身空間,妮飛健身空間入口櫃台右後方,25.073447,121.576145,X,17:00,21:00,09:00,17:00,09:00,17:00,,02-26271096
苗栗縣頭份市戶政事務所,苗栗縣,頭份市,苗栗縣頭份市和平路68號,其他,其他場所,公務機關,頭份市戶政事務所,本所一樓,一樓服務台後方,24.684964,120.9073,X,08:00,17:00,,,,,,37665732
臺中市龍井區竹坑-南寮登山步道,台中市,龍井區,龍井區竹坑里,其他,其他場所,健行步道,臺中市龍井區竹坑里步道入口,臺中市龍井區竹坑-南寮登山步道,設置於步道竹坑入口處,24.179264,120.548838,X,09:00,17:00,,,,,,04-26352411-2218
大板根溫泉度假酒店,新北市,三峽區,插角里79號,公眾浴場或溫泉區,溫泉區,,國際觀光飯店,酒店1樓接待大廳,開放空間，旅宿遊客進出，易於掌控,24.872411,121.407348,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時開放,(02)26749228
新竹縣六家高級中學,新竹縣,竹北鄉,嘉興路356號,學校、集會場所或特殊機構,高中職,,校園南棟與圖書館之間走廊,校園南棟與圖書館之間走廊,校園南棟與圖書館之間走廊,24.828709,121.016946,X,,,,,,,全天24小時,03-5503824-500
連誠汽車股份有限公司台東分公司,台東縣,台東市,正氣北路606號,其他,其他場所,NISSAN,,台東服務廠客休室,台東服務廠客休室,22.755911,121.129755,X,08:30,19:00,08:30,19:00,,,,089-219050
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,00:00,,,,,航機值勤時用,3993322
廣亞學校財團法人育達科技大學,苗栗縣,造橋鄉,苗栗縣造橋鄉談文村學府路168號,學校、集會場所或特殊機構,大專院校,,,健康中心,育達科大健康中心,24.650975,120.842263,X,09:00,21:00,09:00,21:00,09:00,21:00,,037651188轉2501
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
裕信汽車股份有限公司 汐止展示間,新北市,汐止區,大同區一段199號,其他,其他場所,NISSAN,,展示間,展示間,25.057209,121.633118,X,08:30,21:30,08:30,21:30,08:30,21:30,,02-26476565
臺灣高等法院民事庭大廈,台北市,中正區,貴陽路1段233號,學校、集會場所或特殊機構,法院,法院,1樓大廳,1樓大廳,1樓大廳,25.039805,121.510763,X,08:30,22:00,08:30,22:00,08:30,22:00,,23713261轉2123
高雄市內門區內門國民小學,高雄市,內門區,內豐里內埔24號,學校、集會場所或特殊機構,國小,,台3線約398公里處郵局對面,傳藝樓中央走廊,"傳藝樓穿堂
四年仁班和中央走廊的牆壁",22.940734,120.457269,X,08:00,16:00,,,,,,07-6672078
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
國雄領域社區,台中市,西屯區,台灣大道三段681號,其他,其他場所,住宅區,,國雄領域社區一樓大廳,國雄領域社區一樓大廳,24.171312,120.63543,X,00:00,23:59,00:00,23:59,00:00,23:59,,04-22544630
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
中華航空股份有限公司,桃園市,大園區,航站南路1號,長距離交通工具,航空器,,,華航客機,"- B777: F117A  
- B744: 1R-C2-b  
- B738: 1L-1st fwd bin  
- B738*.B738A: C-1L  
- A350: 18A bin  
- A330: 1D fwd bin",25.068402,121.220824,X,,,,,,,航機值勤時用,3993321
家樂福有限公司台南仁德分公司,台南市,仁德區,中山路711號,購物場所,賣場,,,2樓商店街,二樓商店街廁所旁,22.972194,120.246938,X,09:00,23:00,09:00,00:00,09:00,23:00,,06-249666-850
天主教文興高級中學暨附設國中部,彰化縣,田中鎮,員集路三段93號,學校、集會場所或特殊機構,高中職,,,聖愛樓二樓國中部導師辦公室外,聖愛樓二樓國中部導師辦公室外,23.867111,120.58685,X,07:30,21:00,,,,,,04-8753889
聚和國際股份有限公司,高雄市,大寮區,華東路28號,其他,其他場所,工廠,大發二廠，成品倉庫前方,大發二廠,成品倉庫前方,22.579444,120.433424,X,00:00,00:59,00:00,00:59,00:00,00:59,,077887600#114
成吉思汗健身俱樂部三重旗艦館,新北市,三重區,捷運路11號B1樓,學校、集會場所或特殊機構,健身房,第四類健身房,,B1多功能訓練區旁,B1多功能訓練區旁,25.056486,121.48583,X,00:00,23:59,00:00,23:59,00:00,23:59,無休館,0932-575624
新竹市北區衛生所,新竹市,北區,國華街69號1樓,其他,其他場所,公家機關,,北區衛生所服務台,"新竹市北區衛生所大門進入後,左手邊服務值班檯旁",24.8163,120.970346,X,08:00,17:00,,,,,,03-5353969
光立方社區管理委員會,新竹縣,竹北鄉,嘉豐北路7號,其他,其他場所,社區,,A棟一樓大廳,A棟一樓大廳,24.814222,121.036705,,00:00,23:59,00:00,23:59,00:00,23:59,,03-6583507
苗栗縣立苑裡高中(高中部),苗栗縣,苑裡鎮,客庄里新興路19號,學校、集會場所或特殊機構,高中職,,,縣立苑中川堂,苗栗縣立苑裡高中(高中部)川堂,24.439098,120.65637,X,00:00,23:59,00:00,23:59,00:00,23:59,,037-861042＃1623
基隆市七堵區永安里民活動中心,基隆市,七堵區,崇孝街48號,其他,其他場所,里民活動中心,,里民活動中心內部,右側，靠近儲藏室方向,25.098218,121.709314,X,,,,,,,依各里辦理各項宣導、節慶活動時間、社團租用時間開放,932261327
基隆市七堵區自強里民活動中心,基隆市,七堵區,自強路1號,其他,其他場所,里民活動中心,,自強里民活動中心內部,自強里民活動中心內左側,25.1052,121.712219,X,,,,,,,依各里辦理各項宣導、節慶活動時間、社團租用時間開放,02-24569686
裕民汽車股份有限公司南台中分公司,台中市,烏日區,中山路一段37號,其他,其他場所,NISSAN,,客休區,NISSAN裕民汽車南台中分公司客休區,24.110997,120.649192,X,08:30,20:00,08:00,20:00,08:30,18:00,,04-23362355
玉泉公園游泳池,台北市,大同區,西寧北路28號B1,其他,其他場所,公家機關(體育),,玉泉溫水游泳池,大門入口右前方,25.048713,121.498805,X,06:00,22:00,06:00,22:00,06:00,22:00,,02-2550-9828
香港商世界健身事業有限公司高雄中華分公司,高雄市,前金區,中華三路149號1樓,學校、集會場所或特殊機構,健身房,,,四樓教練櫃台,四樓教練櫃台旁,22.625416,120.294536,X,06:00,23:59,06:00,23:59,06:00,23:59,,07-272-2000
基隆市七堵區長安里民活動中心,基隆市,七堵區,長安街31號,其他,其他場所,里民活動中心,,長安里民活動中心內部,舞臺上方，靠牆處,25.07675,121.694035,X,,,,,,,依各里辦理各項宣導、節慶活動時間、社團租用時間開放,933142379
臺南市柳營區水資源回收中心,台南市,柳營區,義士路五段268號,其他,其他場所,水資源回收中心,,行政大樓大廳,放置於行政大樓大廳,23.291471,120.322173,X,08:00,17:30,00:00,00:00,00:00,00:00,星期六日非開放,06-6222253
嘉義縣番路鄉民和國民小學,嘉義縣,番路鄉,下坑村菜公店91號,學校、集會場所或特殊機構,國小,,嘉義縣番路鄉民和國小位於嘉義縣近山地區地處阿里山山脈向西延展至嘉南平原相銜丘陵地帶，四周綠帶環繞，山巒起伏，景色優美，是前往阿里山、奮起湖等風景區必經之地。,健康中心外走廊上,由學校正門(大華公路上)進入，映入眼簾第一棟校舍為北棟，北棟校舍經中走廊左轉第二間教室為健康中心，AED裝設於健康中心外的走廊上,23.464211,120.552979,X,08:00,17:00,,,,,,919373781
臺灣客家茶文化館暨週邊景觀工程,桃園市,龍潭區,桃園市龍潭區高原路805號對面,其他,其他場所,施工場所,施工大門左側,大門入口處守衛室前方,施工大門左側,24.831014,121.190645,,08:00,17:00,08:00,17:00,08:00,17:00,,03-411-7668
桃園市立平鎮幼兒園 本園,桃園市,平鎮區,振平街155號,其他,其他場所,幼兒園,,桃園市立平鎮幼兒園,北勢派出所對面的平鎮市立幼兒園本園,24.942214,121.220783,X,08:00,16:00,,,,,幼兒園應保障幼兒安全，顧及本幼兒安全為主,03-4594840
苗栗縣獅潭鄉獅潭國民小學,苗栗縣,獅潭鄉,新店村11鄰129號,學校、集會場所或特殊機構,國小,,健康中心與書法教室中間走廊位置,健康中心外走廊,健康中心與書法教室中間走廊位置,24.523866,120.93026,,08:00,16:00,,,,,,037-931305
新竹縣內灣國民小學,新竹縣,橫山鄉,內灣村3鄰110號,學校、集會場所或特殊機構,國小,,位於內灣商圈內的內灣國小 學生人數不多但常有遊客進入假日時亦開放為停車場.,內灣國小教職員辦公室走廊,"在內灣國小教職員辦公室旁,前方的空地假日為收費停車場",24.705204,121.183371,X,00:00,23:59,00:00,23:59,00:00,23:59,,03-5848019
木柵明德宮,台北市,文山區,老泉街45巷27之1號,其他,其他場所,宗教場所,明德宮位於公車貓空右線望遠亭站，為恆光橋經老泉街45巷至貓空纜車站之山區產業道路高點，為貓空地區眺望台北市景觀最佳視野位置。,木柵明德宮正門,本AED設置於明德宮正門，位置臨路清楚可見。並放置甦醒球、氧氣、一般外傷處理醫材，供緊急使用！,24.969968,121.578798,X,00:00,23:59,00:00,23:59,00:00,23:59,24H開放空間,02-29394451
新北市中和區秀山國民小學,新北市,中和區,立人街2號,學校、集會場所或特殊機構,國小,,設置於勤學樓後棟123教室,勤學樓後棟123教室,立人街南門入口第二棟123教室,24.994239,121.52066,X,08:00,16:00,,,,,,29434353＃823
臺中市霧峰區衛生所,台中市,霧峰區,民生路1-9號,其他,其他場所,公務機關,,臺中市霧峰區衛生所,臺中市霧峰區民生路1-9號，霧峰幼兒園旁,24.061041,120.700687,X,08:00,17:00,,,,,國定假日公休不開放,04-23393022
中美矽晶製品股份有限公司宜蘭分公司,宜蘭縣,五結鄉,利工一路2段1號,其他,其他場所,公司,,一廠一樓大廳,一樓大廳櫃檯旁,24.644553,121.83695,X,00:00,23:59,00:00,23:59,00:00,23:59,全日開放,03-9905511#5209
淡海輕軌行政中心站(V07站),新北市,淡水區,濱海路一段,交通要衝,捷運站,,,售票加值機旁,行政大樓候車站售票加值機旁,25.188957,121.444529,X,06:00,00:00,06:00,00:00,06:00,00:00,,900612729
新北市南山高級中學,新北市,中和區,廣福路41號,學校、集會場所或特殊機構,高中職,,新北市中和區枋寮市場旁，漳和國中隔壁!,學務處門口,南山中學南工門旁學務處門口走廊上!,25.001581,121.503427,X,08:00,21:00,08:00,17:00,08:00,17:00,校內有開放時間都可使用!,22453000-232；232
英業達股份有限公司桃科廠,桃園市,桃園區,大智路88號,其他,其他場所,職場,,2樓,2樓電梯 梯廳,24.977232,121.329215,,00:00,00:00,00:00,00:00,00:00,00:00,,3900000#22121
新北市三重區碧華國民小學,新北市,三重區,五華街160號,學校、集會場所或特殊機構,國小,,,警衛室,五華街門口警衛室,25.084529,121.490683,X,07:00,22:00,07:00,22:00,07:00,22:00,,02-28577792#790
新北市萬里區野柳國民小學,新北市,萬里區,野柳里港東路167號,學校、集會場所或特殊機構,國小,,,幼兒園旁,野柳國小幼兒園旁,25.204827,121.688051,X,16:00,18:00,09:00,18:00,09:00,18:00,,2492-2512
桃園市立圖書館大崗分館,桃園市,龜山區,大崗里20鄰大湖55號,休閒場所,圖書館,,本館原址位於婦幼館1樓，自92年7月啟用，為提升閱讀環境品質，於96年11月進行搬遷整建工程，97年1月於新址正式提供服務。因本縣於103年12月25日正式升格為直轄市，本館自即日起更名為「桃園市立圖書館大崗分館」。,放置一樓櫃台前方,放置一樓櫃台前方,25.052519,121.35228,X,08:30,17:00,08:30,21:00,08:30,17:00,"■星期二至星期六08:30 至 21:00
■ 星期一及星期日08:30至 17:00
■ 每月最後一個星期四（清館日）、國定假日公休",(03)3270682
經濟部加工出口區管理處從業員工服務中心,高雄市,楠梓區,加工出口區經二路15號,其他,其他場所,經濟部加工出口區管理處從業員工服務中心,經濟部加工出口區管理處從業員工服務中心,高雄市楠梓區經二路15號,大門入口左側,22.72368,120.306699,X,09:00,20:30,09:00,18:00,,,假日不開放,07-3617171
臺北巿士林區陽明山國民小學,台北市,士林區,仰德大道3段61號,其他,其他場所,公家機關(教育-國民小學),,活動中心1樓川堂,活動中心1樓川堂公共電話旁,25.119332,121.552817,X,08:00,17:00,,,,,,(02)28616366
慈濟蘆洲靜思堂,新北市,蘆洲區,長樂路125號,其他,其他場所,集會所,,1樓總務辦公室門口,總務辦公室門口,25.08774,121.461894,X,07:00,22:00,07:00,22:00,07:00,22:00,,02-2289-1193
桃園市立圖書館龜山分館,桃園市,龜山區,自強南路97號1樓,休閒場所,圖書館,,本館於民國63年9月13日依桃園縣政府六三府教社字第101388號函核定，於民國64年2月1日正式成立附屬龜山鄉公所借用館舍開放閱覽，並配合鄉公所新建大樓於69年7月遷入與鄉公所合用。復於87年2月25日遷入龜山鄉自強南路97號3樓綜合行政大樓現址。為提供鄉民完善舒適的閱讀環境，於96年5月進行綜合行政大樓一樓整修工程，將原有閒置空間建置為一設備新穎且功能多元之文史圖書館，同年12月正式啟用，另為提供藝文團體或個人藝術創作的展出機會與交流平台，於101年10月將1樓改建為圖書館及藝文展覽之複合式空間。因本縣於103年12月25日正式升格為直轄市，本館自即日起更名為「桃園市立圖書館龜山分館」。,龜山分館一樓書展區旁,龜山分館一樓書展區旁,24.992391,121.338669,X,08:30,17:00,08:30,21:00,08:30,17:00,"■星期二至星期六08:30 至 21:00
■ 星期一及星期日08:30至 17:00
■ 每月最後一個星期四（清館日）、國定假日公休",(03)3290939
桃園市立圖書館龍潭分館,桃園市,龍潭區,中興路680號,休閒場所,圖書館,非八大場所,,一樓服務台 影印機斜對面,二樓入口處右方,24.870554,121.22261,X,08:30,21:00,08:30,21:00,08:30,17:00,,03-2866189#4507
臺北市信義區福德國民小學,台北市,信義區,福德街253號,其他,其他場所,公家機關(教育-國民小學),,福德國小校門口川堂,校門口川堂,25.038899,121.586503,X,07:30,17:30,,,,,,27277992*27
財團法人陽光社會福利基金會附設臺北市私立陽光重建中心,台北市,中山區,南京東路三段91號3樓,其他,其他場所,社福機構,,國泰南京商業大樓,1樓服務台後方,25.052205,121.539206,X,00:00,00:00,00:00,00:00,00:00,00:00,24H保全人員值班,2507-8006
全真概念健康事業股份有限公司-天母分公司,台北市,士林區,忠誠路二段188號B1,學校、集會場所或特殊機構,健身房,,,B1入口櫃台正對面,B1入口櫃台正對面,25.116401,121.533665,X,06:00,00:00,06:00,00:00,06:00,00:00,,02-77471800
桃園市中壢區中壢國民小學,桃園市,中壢區,延平路622號,學校、集會場所或特殊機構,國小,,,信義樓一樓健康中心前,設置於信義樓一樓健康中心前門旁的牆上,24.954018,121.221868,X,17:00,19:00,17:30,19:00,17:30,19:00,"週一至週五為上午06：00 至 07：00及下午05：00至07：00
週六至週日為下午05：30至07：00。",(03)4255216-116
慈濟基金會台南靜思堂,台南市,仁德區,仁義路222號,其他,其他場所,慈濟會所,鄰近仁德運動公園及仁德消防隊(聖仁骨科對面),一樓大廳,靜思堂一樓大廳入口左側值班台(入門可見),22.96924,120.259384,X,08:00,17:30,08:00,17:30,08:00,17:30,配合當日活動得提前開放或延後結束,06-279-2999
正能量Fitness,台北市,內湖區,內湖路一段322號2樓,學校、集會場所或特殊機構,健身房,,,健身區,位於正能量Fitness場館內,25.081603,121.569847,X,09:00,21:00,09:00,12:00,,,,(02)8797-2666
臺中市大里區公所,台中市,大里區,41261台灣台中市大里區大新街36號,其他,其他場所,民眾洽公場所,3樓獨棟建物，建物正面外牆貼有馬賽克瓷磚大型拼圖,大里區,進大門右邊志工服務台後面靠窗處,24.099369,120.677842,X,08:00,17:00,,,,,假日非上班日、暫停開放,04-24063979
國立成功大學勝利校區第六宿舍,台南市,東區,大學路1號,學校、集會場所或特殊機構,大專院校,,勝利校區芸青軒大門口,勝利校區第六宿舍,校安中心2381187、校內分機直播55555；駐警隊2752615、校內分機直播66666；駐警隊巡邏車備有1組自動體外心臟電擊器(AED),22.994606,120.218967,X,00:00,23:59,00:00,23:59,00:00,23:59,全日開放,2381187、2752615
臺南市永康區復興國民小學,台南市,永康區,華興街2號,學校、集會場所或特殊機構,國小,,集結幼稚園、國小、補校及台南市家庭教育中心諮詢服務處,健康中心,校園中心點,23.001281,120.239375,X,07:30,16:30,,,,,,06-3111569-916
雲林縣立臺西國民中學,雲林縣,台西鄉,中山路408號,學校、集會場所或特殊機構,國中,,,一樓東側樓梯旁,總務處前走廊直走置於樓梯旁,23.700626,120.195385,X,07:30,16:30,,,,,,7:30-16:30/05-6981400-221
臺北市萬華區老松國民小學,台北市,萬華區,桂林路64號,其他,其他場所,公家機關(教育-國民小學),,川堂,川堂面對警衛室的右手邊角,25.038046,121.502725,X,17:30,21:00,13:00,21:00,08:00,21:00,,02-23361266
秀泰廣場股份有限公司,台中市,東區,台中市東區南京路76號,購物場所,商場,,,1F服務台旁,由南京與復興路四段 正門進入後，右轉走到底之服務台旁。,24.140578,120.689814,X,11:00,22:00,10:30,22:00,10:30,22:00,,0932-593418
新北市政府警察局交通警察大隊,新北市,中和區,中正路1167號4樓,其他,其他場所,警察機關,,新北市政府警察局勤務大樓4樓交通警察大隊,4樓出電梯口右側，值班台左前方。(AED設置後方為女警備勤室及勤務指揮中心),25.009286,121.481305,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時開放,〈02〉2225-5999
新北市政府警察局三重分局光明派出所,新北市,三重區,過圳街46號,其他,其他場所,派出所,,派出所一樓,監視器機房旁,25.06078,121.48717,X,00:00,23:59,00:00,23:59,00:00,23:59,全天候24小時開放,02-29860655
漢來大飯店,高雄市,前金區,成功一路266號,旅宿場所,飯店,,漢來大飯店通過觀光局評鑑的五星級大飯店，座落於高雄市成功一路與新田路口，位居大高雄商業與財經中樞，俯瞰大高雄全景，品味獨俱的漢來大飯店，一直以提供國際級之專業服務為傲，堪稱為南臺灣之最的漢來大飯店。,總機組辦公室,於服務中心櫃檯右後方辦公室內之左側總機組辦公室桌子，即可看到AED設備。,22.619478,120.296487,X,00:00,23:59,00:00,23:59,00:00,23:59,全日開放,07-2161766
萬海航運股份有限公司 高雄碼頭,高雄市,前鎮區,興化里鎮港路18號,其他,其他場所,碼頭貨櫃集散站,,主辦公室1F,主辦公室1F入口櫃台旁,22.582744,120.308977,X,09:00,18:00,,,,,,07-812-3342
新北市政府警察局瑞芳分局東勢格派出所,新北市,平溪區,東勢格1號,其他,其他場所,派出所,,一樓值班台後方,值班台後方,25.005108,121.749679,X,00:00,23:59,00:00,23:59,00:00,23:59,,2495-1379
聚和國際股份有限公司,高雄市,大寮區,華東路28號,其他,其他場所,工廠,,守衛室,守衛室外側明顯處,22.579444,120.433424,X,00:00,00:00,00:00,00:00,00:00,00:00,守衛室24小時開放,77887600
國立故宮博物院,台北市,士林區,至善路2段221號,休閒場所,博物館,,國立故宮博物院圖書文獻大樓共四層樓一樓為展覽館及販賣場AED放置位置為一樓展場入口左手邊明顯處展場全年無休皆有駐衛警駐守有外展時遊客增加,圖書文獻大樓,1樓特展室門口,25.101992,121.548663,X,09:00,17:00,09:00,17:00,09:00,17:00,,6610-3600分機2267
